region,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020
RO,1677766,1698263,1717911,1737578,1757589,1777225,1796460
AC,818273,831665,844137,856457,869265,881935,894470
AM,3819636,3887740,3952171,4015812,4080611,4144597,4207714
RR,501970,513328,525967,546885,576568,605761,631181
PA,8149418,8244575,8334346,8422634,8513497,8602865,8690745
AP,762156,779416,796419,813084,829494,845731,861773
TO,1485318,1503482,1520448,1537350,1555229,1572866,1590248
MA,6875302,6916244,6955099,6994148,7035055,7075181,7114598
PI,3229320,3238459,3246999,3255400,3264531,3273227,3281480
CE,8846267,8904499,8962063,9017990,9075649,9132078,9187103
RN,3363084,3393814,3422843,3450669,3479010,3506853,3534165
PB,3910059,3932537,3953693,3974437,3996496,4018127,4039277
PE,9252020,9317317,9376936,9434403,9496294,9557071,9616621
AL,3263946,3279649,3294061,3307968,3322820,3337357,3351543
SE,2195015,2216657,2237132,2257266,2278308,2298696,2318822
BA,14565807,14629018,14689684,14749868,14812617,14873064,14930634
MG,20508631,20648978,20780264,20908628,21040662,21168791,21292666
ES,3784361,3832826,3879376,3925341,3972388,4018650,4064052
RJ,16726184,16841138,16947738,17051465,17159960,17264943,17366189
SP,43937755,44356304,44760305,45149603,45538936,45919049,46289333
PR,10997989,11089062,11176203,11261927,11348937,11433957,11516840
SC,6710154,6802306,6894058,6984749,7075494,7164788,7252502
RS,11119817,11175777,11229947,11280193,11329605,11377239,11422973
MS,2621214,2653928,2685454,2716534,2748023,2778986,2809394
MT,3269448,3314540,3356979,3398791,3441998,3484466,3526220
GO,6520857,6625528,6726130,6824504,6921161,7018354,7113540
DF,2805774,2848633,2890224,2931057,2974703,3015268,3055149
