 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Unidade da Federação
Período:2017
"Unidade da Federação";"População_residente"
"11 Rondônia";1737578
"12 Acre";856457
"13 Amazonas";4015812
"14 Roraima";546885
"15 Pará";8422634
"16 Amapá";813084
"17 Tocantins";1537350
"21 Maranhão";6994148
"22 Piauí";3255400
"23 Ceará";9017990
"24 Rio Grande do Norte";3450669
"25 Paraíba";3974437
"26 Pernambuco";9434403
"27 Alagoas";3307968
"28 Sergipe";2257266
"29 Bahia";14749868
"31 Minas Gerais";20908628
"32 Espírito Santo";3925341
"33 Rio de Janeiro";17051465
"35 São Paulo";45149603
"41 Paraná";11261927
"42 Santa Catarina";6984749
"43 Rio Grande do Sul";11280193
"50 Mato Grosso do Sul";2716534
"51 Mato Grosso";3398791
"52 Goiás";6824504
"53 Distrito Federal";2931057
"Total";206804741
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

