DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2016
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"IG";"Total"
"Em Branco/ign";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;60;-;-;-;-;-;-;-;-;62
"Semana 01";337;30;56;5;222;26;354;267;51;240;486;858;4116;599;76;1364;10649;2708;4230;6042;1322;68;40;3357;1430;3445;545;1;42924
"Semana 02";421;61;97;1;342;18;416;567;70;261;696;938;4157;654;79;1781;12841;2308;3836;7375;1897;57;27;4043;1511;3972;533;-;48959
"Semana 03";610;105;144;3;380;38;370;701;75;328;1036;1200;4228;607;110;1769;14379;2437;4256;8883;2854;104;40;4553;1509;4485;652;-;55856
"Semana 04";481;162;175;3;444;44;466;943;97;473;1696;1434;4528;613;132;2391;17281;2384;3948;10575;2857;130;49;4068;1459;5073;634;-;62540
"Semana 05";429;229;175;-;444;33;466;831;132;515;2587;1276;4550;627;224;3220;21640;2483;3670;11001;3293;173;54;3888;1677;6486;1049;1;71153
"Semana 06";530;223;173;7;468;76;502;1291;115;544;3710;1408;5405;784;287;4446;26605;2719;4035;13322;3895;307;60;3688;1736;6700;1406;-;84442
"Semana 07";634;170;296;4;689;86;614;1383;122;841;5243;2090;4815;826;407;6451;38071;2739;4729;13901;4140;358;106;3491;1751;8743;1385;3;104088
"Semana 08";597;142;241;4;569;71;493;1237;106;894;5188;1889;4339;834;200;6465;42518;2522;4089;13468;4589;379;156;2895;1260;8476;1102;4;104727
"Semana 09";542;122;366;6;525;97;401;1920;151;880;5770;2314;3708;855;199;5715;39619;2551;3920;13348;4731;552;210;2644;1072;8102;1108;-;101428
"Semana 10";394;85;279;15;466;136;372;1741;120;969;4964;2418;2917;885;130;5382;38388;2456;3995;12561;4325;486;259;2199;848;7385;1204;1;95380
"Semana 11";296;51;203;8;422;82;255;1254;155;1011;4362;2215;2174;691;112;3948;37116;2033;4327;12694;3870;349;245;1747;638;6883;1181;1;88323
"Semana 12";262;71;287;12;341;61;214;1152;144;1158;3060;1911;1876;853;106;3606;31518;1693;4553;11668;4355;377;312;1661;538;5934;1040;-;78763
"Semana 13";272;61;396;9;419;97;245;1383;236;1494;2441;1966;1430;897;103;3217;34373;2081;5229;11436;4063;354;253;1630;500;6440;971;-;81996
"Semana 14";249;66;372;3;452;84;229;1280;387;1747;2085;1794;1452;715;100;2604;35668;1715;4944;10582;4010;268;253;1270;373;5952;952;-;79606
"Semana 15";204;59;439;1;476;63;235;1225;469;1938;2025;1676;1001;632;113;2002;30770;1478;5013;9147;3635;296;257;1224;352;5458;922;-;71110
"Semana 16";133;46;391;1;352;54;210;1671;391;2587;1467;1184;791;665;91;1546;24523;1214;3894;8121;2981;280;277;848;224;4110;727;1;58780
"Semana 17";78;28;412;2;285;56;222;1315;301;2981;1250;1028;636;527;46;1192;20852;850;3545;6888;1677;236;205;532;185;3477;635;1;49442
"Semana 18";75;31;249;3;311;49;239;821;267;2881;1005;1111;549;582;42;1088;15143;567;2315;4494;836;85;104;290;186;2929;579;-;36831
"Semana 19";72;24;224;3;305;55;217;357;286;2506;944;955;505;552;32;963;9587;425;2076;2756;560;38;53;176;132;2596;490;-;26889
"Semana 20";55;16;225;1;183;36;147;486;220;2598;1022;1048;549;434;39;681;6587;366;1448;2082;355;27;32;114;87;2066;352;-;21256
"Semana 21";41;16;172;-;134;33;104;355;125;2436;714;787;411;357;39;445;3810;194;954;1348;215;15;23;79;82;1500;269;-;14658
"Semana 22";32;20;146;2;136;24;118;174;119;2092;658;705;373;322;26;450;2619;263;835;885;138;10;10;79;102;1235;267;-;11840
"Semana 23";32;10;193;4;104;20;91;121;102;1878;632;617;408;320;28;404;1559;172;690;512;68;6;5;43;80;1128;219;-;9446
"Semana 24";19;19;174;1;114;20;51;103;106;1833;448;528;374;332;22;291;996;126;379;430;81;3;4;23;59;872;146;-;7554
"Semana 25";21;16;158;3;105;21;42;87;123;1359;425;437;298;306;22;206;635;101;296;316;72;3;4;34;60;757;92;-;5999
"Semana 26";23;16;109;3;116;13;31;68;107;1267;352;339;279;270;22;230;411;105;297;297;74;5;4;39;54;526;75;-;5132
"Semana 27";18;19;116;3;98;17;34;83;76;1288;266;272;250;204;38;200;331;98;291;202;56;5;3;22;51;497;66;-;4604
"Semana 28";26;17;88;4;107;15;35;34;53;987;281;193;307;247;37;240;268;113;267;205;56;6;1;17;51;431;49;-;4135
"Semana 29";25;12;88;5;76;13;26;23;31;1001;252;177;202;161;31;224;198;83;207;142;31;4;5;15;37;362;51;-;3482
"Semana 30";17;9;76;4;68;19;26;42;42;854;140;111;204;195;41;187;166;71;179;157;39;9;4;16;33;360;25;-;3094
"Semana 31";6;15;47;11;85;20;19;61;44;757;100;65;219;154;45;185;153;73;153;137;32;6;5;24;60;341;27;-;2844
"Semana 32";7;4;41;4;79;23;14;50;31;603;149;60;243;139;40;167;158;76;109;139;33;5;5;24;52;365;16;-;2636
