DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Semana epidem. 1º Sintomas(s) e UF de notificação
Período:2017
"Semana epidem. 1º Sintomas(s)";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Semana 01";131;49;100;4;182;27;100;71;29;328;118;41;114;18;19;436;868;278;316;187;77;9;17;52;297;1092;50;5010
"Semana 02";130;59;98;2;233;38;120;94;27;412;130;39;127;43;18;411;1120;260;346;236;79;12;14;55;251;1035;45;5434
"Semana 03";144;81;134;4;371;39;132;111;43;594;102;46;120;45;13;523;1150;298;409;220;97;6;8;71;272;1297;51;6381
"Semana 04";125;85;131;1;791;35;171;106;44;648;121;37;120;38;29;449;1115;268;418;218;96;6;6;63;279;1530;62;6992
"Semana 05";146;79;214;2;901;53;185;254;44;807;121;57;117;33;11;460;1000;187;420;273;68;3;6;88;308;1705;99;7641
"Semana 06";113;66;205;2;455;65;182;313;41;957;87;60;113;40;7;444;1120;156;410;259;81;4;5;77;407;1682;67;7418
"Semana 07";139;64;136;4;496;32;240;589;50;1185;133;68;130;38;12;375;1255;192;410;289;82;5;7;69;395;1769;64;8228
"Semana 08";123;35;75;4;351;37;174;628;89;1062;196;63;99;28;10;365;982;192;265;297;79;2;1;57;369;1500;48;7131
"Semana 09";105;50;104;1;400;52;215;491;73;1154;273;94;111;39;9;339;1094;327;338;248;59;9;7;52;361;1745;76;7826
"Semana 10";125;66;111;2;415;65;175;375;132;1457;367;79;156;55;12;299;1290;352;358;275;49;8;2;53;459;2210;114;9061
"Semana 11";81;52;121;10;398;39;211;291;121;1630;281;103;154;40;10;271;1185;329;384;258;73;7;2;56;380;2338;131;8956
"Semana 12";61;39;178;15;296;29;259;310;168;1834;238;107;193;51;24;311;1147;251;389;270;51;3;5;65;491;2393;174;9352
"Semana 13";51;36;137;10;192;22;193;244;155;2492;206;104;146;70;29;313;1057;204;338;241;40;4;6;57;447;1944;155;8893
