region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
RO,2019,10,7,10,8,7,10,13,12,16,4,18,18,9,21,22,25,15,18,12,16,11,11,22,24,27,16,29,31,25,41,33,16,7,9,7,5,4,10,8,10,10,18,20,17,26,29,32,39,53,71,38,13
AC,2019,389,359,388,401,282,351,324,299,187,177,204,213,183,144,120,103,95,97,73,74,54,46,32,44,36,35,32,38,28,29,58,38,20,35,50,32,46,36,25,72,116,142,229,266,418,516,581,576,673,590,442,301
AM,2019,25,57,57,36,50,50,59,58,33,39,31,41,27,30,24,40,33,33,31,25,22,30,29,24,15,16,8,19,10,19,8,11,10,14,14,12,21,24,51,72,93,115,152,136,190,215,288,300,334,377,286,179
RR,2019,5,9,4,11,10,3,9,8,6,17,8,21,12,16,15,10,8,9,13,20,25,11,11,24,13,13,12,6,14,19,15,22,19,10,12,40,40,44,43,51,63,66,54,72,112,110,100,96,70,80,89,21
PA,2019,75,110,142,165,177,210,241,190,141,173,212,193,177,167,171,175,146,224,134,160,136,125,86,99,74,60,53,44,44,48,47,50,50,49,67,39,57,71,69,51,77,58,51,54,67,72,72,50,53,39,44,41
AP,2019,2,3,3,1,11,1,4,8,5,8,12,9,6,8,5,8,3,5,5,4,3,2,2,4,5,2,3,4,NA,3,1,2,5,3,2,2,1,2,3,3,6,4,NA,4,4,NA,2,2,2,2,4,5
TO,2019,394,483,595,598,752,864,656,694,602,518,666,676,628,648,599,524,521,506,428,383,349,267,155,123,86,68,47,31,20,21,18,29,17,19,18,17,15,11,7,17,18,29,42,37,44,53,60,71,74,99,67,133
MA,2019,37,44,80,85,48,72,135,120,134,147,170,200,191,255,256,228,263,223,273,257,292,250,227,178,150,153,116,95,85,50,62,77,57,46,69,41,44,50,27,31,36,29,41,40,23,40,20,22,23,23,8,15
PI,2019,33,33,48,60,45,69,53,90,62,99,150,202,266,317,304,280,413,494,521,535,489,439,461,324,289,259,282,222,203,171,115,90,65,69,69,43,40,25,25,24,26,24,21,21,22,24,19,29,27,27,16,19
CE,2019,55,42,78,73,119,137,193,220,182,245,297,324,448,703,636,586,595,703,738,755,788,711,653,709,606,526,547,509,400,369,406,357,296,260,268,232,186,169,117,114,78,74,75,95,98,84,86,97,85,71,59,43
RN,2019,120,128,133,127,109,110,184,187,204,219,354,360,434,724,995,1162,1191,1525,1432,1508,1688,1735,1635,1440,1358,1161,1215,1190,1089,1015,917,1012,731,566,504,493,385,374,307,250,265,252,193,130,152,125,121,148,100,94,105,121
PB,2019,48,79,80,112,100,104,167,199,168,241,296,312,311,445,612,589,774,919,908,962,869,991,858,747,548,614,585,593,585,448,446,481,412,331,411,324,308,272,210,219,157,108,112,134,95,120,101,81,63,75,65,53
