region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52,w53
RO,2020,56,61,90,119,121,183,151,143,156,187,228,176,174,151,156,128,105,118,151,127,112,87,72,60,70,67,70,43,42,42,30,30,24,19,15,13,10,7,15,11,5,14,8,11,17,14,24,43,56,63,40,30,3
AC,2020,554,640,627,389,327,270,258,196,158,135,133,69,52,41,42,54,50,101,129,174,155,126,112,83,63,47,47,33,41,39,35,28,32,16,22,28,22,29,31,31,29,39,53,62,88,146,238,262,392,350,399,568,229
AM,2020,316,387,315,232,231,206,189,157,170,252,268,186,107,100,105,100,65,88,80,83,96,80,79,76,110,54,75,51,36,39,38,27,43,45,50,36,40,40,70,63,81,76,100,98,79,78,100,128,126,178,193,270,28
RR,2020,42,46,39,45,80,79,46,31,33,26,14,1,4,4,1,2,4,NA,NA,2,2,NA,NA,1,3,2,2,4,5,NA,2,3,2,3,6,3,NA,3,2,4,1,1,NA,1,2,1,1,2,2,1,4,22,NA
PA,2020,99,117,161,190,208,233,255,167,166,205,208,129,107,88,95,90,85,100,111,68,81,66,39,27,42,31,24,13,23,21,17,20,20,21,26,16,16,12,17,14,10,13,17,17,29,23,33,35,44,36,21,47,NA
AP,2020,2,1,1,NA,3,1,2,1,2,NA,3,1,1,2,4,2,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA
TO,2020,44,74,64,74,82,98,102,101,95,128,130,76,64,51,56,64,68,50,49,46,35,40,33,40,37,36,35,23,38,19,29,16,13,18,9,11,9,14,9,11,7,5,8,10,7,16,32,38,46,35,42,42,11
MA,2020,32,52,129,130,162,166,278,223,167,177,132,71,60,77,69,86,70,46,42,29,37,20,22,25,22,16,12,14,18,13,6,4,14,11,10,9,7,8,10,11,11,6,3,5,10,1,9,10,6,1,7,13,1
PI,2020,15,19,23,35,41,49,55,42,61,82,108,70,32,43,57,94,111,109,101,139,128,109,82,64,45,61,39,35,40,28,36,26,22,25,18,11,14,17,17,9,4,11,7,9,7,6,12,4,11,16,14,8,NA
CE,2020,86,131,180,211,264,460,553,632,820,893,1060,658,532,735,903,1108,1214,1120,1037,835,815,712,768,649,769,733,684,603,577,498,427,412,361,298,231,195,161,160,130,110,106,93,99,75,88,88,103,75,88,80,67,53,15
RN,2020,100,103,161,170,219,234,197,171,189,243,257,202,75,81,100,124,177,215,221,239,225,241,250,255,316,243,300,244,191,145,136,115,89,90,40,67,55,58,43,51,37,44,35,23,27,39,52,41,63,55,38,78,39
PB,2020,107,109,96,131,153,164,160,161,188,150,162,118,58,62,95,123,183,171,176,215,221,241,214,166,183,163,215,222,207,204,163,144,151,118,114,111,74,87,68,83,96,57,61,55,63,50,81,55,59,65,74,82,9
PE,2020,172,209,225,242,252,256,303,268,332,392,406,272,202,310,325,565,625,650,713,1006,854,724,728,683,730,706,804,787,688,641,588,519,524,456,411,375,331,370,350,255,286,228,270,211,231,192,174,137,130,154,121,176,33
AL,2020,46,38,48,37,31,44,47,48,49,42,45,22,24,37,47,95,82,90,93,80,81,74,82,90,90,84,87,116,86,58,42,62,51,38,20,28,29,25,28,22,18,21,21,17,20,14,15,9,24,16,19,20,2
SE,2020,8,12,12,10,5,9,8,5,18,21,21,10,4,12,8,13,19,33,38,30,44,64,92,112,81,88,112,112,86,106,78,80,68,62,48,46,32,40,30,47,29,21,16,9,12,9,16,11,18,16,11,15,NA
BA,2020,400,572,632,775,1029,1245,1501,1633,2230,2767,2749,1986,1915,2700,3704,4827,4782,4731,5160,4977,4399,4308,3999,3263,2872,2055,2047,1628,1320,1011,736,550,472,393,353,330,250,260,220,220,221,189,212,193,166,178,202,234,204,202,171,254,41
MG,2020,932,1409,1834,2114,2346,2920,3251,3213,3524,4345,4665,3474,3290,3829,4331,4645,4510,3733,3329,3028,2416,1728,1543,1246,1071,847,825,687,545,480,418,340,396,325,309,313,343,363,333,329,305,325,322,280,389,463,594,625,721,663,573,479,133
ES,2020,479,523,640,663,597,597,669,651,483,540,623,367,344,68,28,14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,6,6,23,241,NA
RJ,2020,184,223,242,203,214,230,249,289,240,227,244,150,134,129,110,108,94,88,82,67,61,40,28,41,31,27,30,23,33,40,27,22,21,22,19,22,14,26,27,27,23,17,29,23,28,49,25,24,48,44,49,100,3
SP,2020,3808,5792,7963,10604,12060,15587,16258,12932,13652,14267,12006,8557,8683,8107,7537,7493,6407,5856,5245,4129,2634,1988,1631,1605,1560,1152,846,832,746,582,555,438,435,318,322,350,372,345,386,359,334,336,392,290,349,435,458,536,579,736,846,1678,287
PR,2020,2884,4682,6632,9821,11301,16280,21111,18483,20216,22771,20777,16595,15480,14373,12602,10218,7821,6499,5844,4011,2623,1744,1089,946,1099,713,525,481,391,353,283,198,148,104,132,130,170,168,163,202,233,218,251,206,274,385,660,723,731,855,836,1254,371
SC,2020,27,28,21,35,27,47,89,117,153,283,344,329,536,656,941,1010,1028,1007,1069,853,796,657,421,293,328,248,155,93,41,28,19,13,9,12,14,4,9,15,9,12,4,13,21,11,9,17,15,30,33,23,28,33,8
RS,2020,8,14,14,10,17,28,51,118,166,186,191,171,326,508,527,325,306,253,229,133,103,49,31,20,24,18,10,7,4,8,10,6,2,7,2,1,8,7,8,6,6,5,8,6,13,10,9,8,6,12,11,13,5
MS,2020,760,1349,2186,3221,3327,3610,3894,3534,3714,3598,3268,2590,2232,2072,1641,1438,1228,1230,971,723,540,417,305,358,348,301,234,214,218,210,156,112,136,99,145,97,152,124,102,116,90,83,64,71,125,156,261,184,239,219,145,308,43
MT,2020,663,1065,1331,1651,1959,2021,1876,1744,1549,1774,1766,1361,1053,1077,1033,1128,1070,1114,988,1021,961,783,665,641,638,431,378,314,262,262,178,136,141,113,86,108,87,79,75,60,65,47,57,51,76,83,104,97,139,146,109,308,40
GO,2020,1007,1236,1431,1742,1746,2234,2279,2132,2343,3121,2959,2058,1891,2229,2480,2422,2347,2021,1944,1786,1596,1330,1410,1378,1372,1290,1325,970,653,539,534,449,481,347,259,277,285,235,225,245,223,192,189,208,334,257,276,287,304,289,265,572,57
DF,2020,273,414,636,795,761,1096,1258,1732,2018,2390,2530,2150,2096,2330,3199,3194,2927,3188,2762,2264,1945,1670,1286,1033,825,625,605,507,488,340,259,201,213,197,183,209,203,167,144,177,153,160,131,137,180,148,163,171,240,197,189,263,76
