Index,Region,Abbrev_name,Year,Week,Week_seq,Count
1,Alto Paraguay,R01,2012,1,1,0
2,Alto Paraguay,R01,2012,2,2,0
3,Alto Paraguay,R01,2012,3,3,0
4,Alto Paraguay,R01,2012,4,4,0
5,Alto Paraguay,R01,2012,5,5,0
6,Alto Paraguay,R01,2012,6,6,0
7,Alto Paraguay,R01,2012,7,7,0
8,Alto Paraguay,R01,2012,8,8,0
9,Alto Paraguay,R01,2012,9,9,0
10,Alto Paraguay,R01,2012,10,10,0
11,Alto Paraguay,R01,2012,11,11,0
12,Alto Paraguay,R01,2012,12,12,0
13,Alto Paraguay,R01,2012,13,13,0
14,Alto Paraguay,R01,2012,14,14,0
15,Alto Paraguay,R01,2012,15,15,0
16,Alto Paraguay,R01,2012,16,16,1
17,Alto Paraguay,R01,2012,17,17,0
18,Alto Paraguay,R01,2012,18,18,0
19,Alto Paraguay,R01,2012,19,19,0
20,Alto Paraguay,R01,2012,20,20,0
21,Alto Paraguay,R01,2012,21,21,0
22,Alto Paraguay,R01,2012,22,22,0
23,Alto Paraguay,R01,2012,23,23,0
24,Alto Paraguay,R01,2012,24,24,0
25,Alto Paraguay,R01,2012,25,25,0
26,Alto Paraguay,R01,2012,26,26,0
27,Alto Paraguay,R01,2012,27,27,0
28,Alto Paraguay,R01,2012,28,28,0
29,Alto Paraguay,R01,2012,29,29,6
30,Alto Paraguay,R01,2012,30,30,0
31,Alto Paraguay,R01,2012,31,31,0
32,Alto Paraguay,R01,2012,32,32,0
33,Alto Paraguay,R01,2012,33,33,0
34,Alto Paraguay,R01,2012,34,34,0
35,Alto Paraguay,R01,2012,35,35,0
36,Alto Paraguay,R01,2012,36,36,0
37,Alto Paraguay,R01,2012,37,37,0
38,Alto Paraguay,R01,2012,38,38,1
39,Alto Paraguay,R01,2012,39,39,0
40,Alto Paraguay,R01,2012,40,40,0
41,Alto Paraguay,R01,2012,41,41,0
42,Alto Paraguay,R01,2012,42,42,0
43,Alto Paraguay,R01,2012,43,43,0
44,Alto Paraguay,R01,2012,44,44,0
45,Alto Paraguay,R01,2012,45,45,0
46,Alto Paraguay,R01,2012,46,46,0
47,Alto Paraguay,R01,2012,47,47,0
48,Alto Paraguay,R01,2012,48,48,0
49,Alto Paraguay,R01,2012,49,49,0
50,Alto Paraguay,R01,2012,50,50,0
51,Alto Paraguay,R01,2012,51,51,0
52,Alto Paraguay,R01,2012,52,52,0
53,Alto Paraná,R02,2012,1,1,0
54,Alto Paraná,R02,2012,2,2,0
55,Alto Paraná,R02,2012,3,3,0
56,Alto Paraná,R02,2012,4,4,0
57,Alto Paraná,R02,2012,5,5,0
58,Alto Paraná,R02,2012,6,6,4
59,Alto Paraná,R02,2012,7,7,1
60,Alto Paraná,R02,2012,8,8,0
61,Alto Paraná,R02,2012,9,9,0
62,Alto Paraná,R02,2012,10,10,0
63,Alto Paraná,R02,2012,11,11,3
64,Alto Paraná,R02,2012,12,12,1
65,Alto Paraná,R02,2012,13,13,4
66,Alto Paraná,R02,2012,14,14,0
67,Alto Paraná,R02,2012,15,15,7
68,Alto Paraná,R02,2012,16,16,0
69,Alto Paraná,R02,2012,17,17,6
70,Alto Paraná,R02,2012,18,18,0
71,Alto Paraná,R02,2012,19,19,2
72,Alto Paraná,R02,2012,20,20,1
73,Alto Paraná,R02,2012,21,21,0
74,Alto Paraná,R02,2012,22,22,0
75,Alto Paraná,R02,2012,23,23,14
76,Alto Paraná,R02,2012,24,24,17
77,Alto Paraná,R02,2012,25,25,0
78,Alto Paraná,R02,2012,26,26,0
79,Alto Paraná,R02,2012,27,27,24
80,Alto Paraná,R02,2012,28,28,178
81,Alto Paraná,R02,2012,29,29,108
82,Alto Paraná,R02,2012,30,30,0
83,Alto Paraná,R02,2012,31,31,0
84,Alto Paraná,R02,2012,32,32,0
85,Alto Paraná,R02,2012,33,33,0
86,Alto Paraná,R02,2012,34,34,0
87,Alto Paraná,R02,2012,35,35,0
88,Alto Paraná,R02,2012,36,36,4
